dt,AverageTemperature,City,Latitude,Longitude,month,year,Average 20 years,gap1,gap2
6/1/1917,14.497,Sydney,34.56S,151.78E,6,1917,,,
7/1/1917,14.204,Sydney,34.56S,151.78E,7,1917,,,
8/1/1917,13.602,Sydney,34.56S,151.78E,8,1917,,,
9/1/1917,15.559,Sydney,34.56S,151.78E,9,1917,,,
10/1/1917,16.414,Sydney,34.56S,151.78E,10,1917,,,
11/1/1917,16.742,Sydney,34.56S,151.78E,11,1917,,,
12/1/1917,18.839,Sydney,34.56S,151.78E,12,1917,,,
1/1/1918,18.304,Sydney,34.56S,151.78E,1,1918,,,
2/1/1918,18.566,Sydney,34.56S,151.78E,2,1918,,,
3/1/1918,18.412,Sydney,34.56S,151.78E,3,1918,,,
4/1/1918,17.294,Sydney,34.56S,151.78E,4,1918,,,
5/1/1918,16.637,Sydney,34.56S,151.78E,5,1918,,,
6/1/1918,14.499,Sydney,34.56S,151.78E,6,1918,,,
7/1/1918,13.064,Sydney,34.56S,151.78E,7,1918,,,
8/1/1918,14.753,Sydney,34.56S,151.78E,8,1918,,,
9/1/1918,15.266,Sydney,34.56S,151.78E,9,1918,,,
10/1/1918,15.524,Sydney,34.56S,151.78E,10,1918,,,
11/1/1918,17.488,Sydney,34.56S,151.78E,11,1918,,,
12/1/1918,18.954,Sydney,34.56S,151.78E,12,1918,,,
1/1/1919,20.111,Sydney,34.56S,151.78E,1,1919,,,
2/1/1919,20.461,Sydney,34.56S,151.78E,2,1919,,,
3/1/1919,19.537,Sydney,34.56S,151.78E,3,1919,,,
4/1/1919,18.46,Sydney,34.56S,151.78E,4,1919,,,
5/1/1919,17.782,Sydney,34.56S,151.78E,5,1919,,,
6/1/1919,15.432,Sydney,34.56S,151.78E,6,1919,,,
7/1/1919,13.825,Sydney,34.56S,151.78E,7,1919,,,
8/1/1919,14.112,Sydney,34.56S,151.78E,8,1919,,,
9/1/1919,15.975,Sydney,34.56S,151.78E,9,1919,,,
10/1/1919,16.708,Sydney,34.56S,151.78E,10,1919,,,
11/1/1919,18.318,Sydney,34.56S,151.78E,11,1919,,,
12/1/1919,19.37,Sydney,34.56S,151.78E,12,1919,,,
1/1/1920,18.154,Sydney,34.56S,151.78E,1,1920,,,
2/1/1920,19.034,Sydney,34.56S,151.78E,2,1920,,,
3/1/1920,18.147,Sydney,34.56S,151.78E,3,1920,,,
4/1/1920,17.172,Sydney,34.56S,151.78E,4,1920,,,
5/1/1920,15.46,Sydney,34.56S,151.78E,5,1920,,,
6/1/1920,14.827,Sydney,34.56S,151.78E,6,1920,,,
7/1/1920,14.262,Sydney,34.56S,151.78E,7,1920,,,
8/1/1920,13.605,Sydney,34.56S,151.78E,8,1920,,,
9/1/1920,15.22,Sydney,34.56S,151.78E,9,1920,,,
10/1/1920,16.343,Sydney,34.56S,151.78E,10,1920,,,
11/1/1920,18.68,Sydney,34.56S,151.78E,11,1920,,,
12/1/1920,18.883,Sydney,34.56S,151.78E,12,1920,,,
1/1/1921,18.872,Sydney,34.56S,151.78E,1,1921,,,
2/1/1921,19.663,Sydney,34.56S,151.78E,2,1921,,,
3/1/1921,19.127,Sydney,34.56S,151.78E,3,1921,,,
4/1/1921,18.214,Sydney,34.56S,151.78E,4,1921,,,
5/1/1921,17.113,Sydney,34.56S,151.78E,5,1921,,,
6/1/1921,15.322,Sydney,34.56S,151.78E,6,1921,,,
7/1/1921,15.472,Sydney,34.56S,151.78E,7,1921,,,
8/1/1921,13.396,Sydney,34.56S,151.78E,8,1921,,,
9/1/1921,16.221,Sydney,34.56S,151.78E,9,1921,,,
10/1/1921,15.25,Sydney,34.56S,151.78E,10,1921,,,
11/1/1921,18.851,Sydney,34.56S,151.78E,11,1921,,,
12/1/1921,18.298,Sydney,34.56S,151.78E,12,1921,,,
1/1/1922,18.706,Sydney,34.56S,151.78E,1,1922,,,
2/1/1922,19.419,Sydney,34.56S,151.78E,2,1922,,,
3/1/1922,19.167,Sydney,34.56S,151.78E,3,1922,,,
4/1/1922,19.697,Sydney,34.56S,151.78E,4,1922,,,
5/1/1922,16.503,Sydney,34.56S,151.78E,5,1922,,,
6/1/1922,14.879,Sydney,34.56S,151.78E,6,1922,,,
7/1/1922,13.904,Sydney,34.56S,151.78E,7,1922,,,
8/1/1922,13.91,Sydney,34.56S,151.78E,8,1922,,,
9/1/1922,15.265,Sydney,34.56S,151.78E,9,1922,,,
10/1/1922,17.069,Sydney,34.56S,151.78E,10,1922,,,
11/1/1922,18.564,Sydney,34.56S,151.78E,11,1922,,,
12/1/1922,19.498,Sydney,34.56S,151.78E,12,1922,,,
1/1/1923,19.324,Sydney,34.56S,151.78E,1,1923,,,
2/1/1923,20,Sydney,34.56S,151.78E,2,1923,,,
3/1/1923,20.429,Sydney,34.56S,151.78E,3,1923,,,
4/1/1923,17.921,Sydney,34.56S,151.78E,4,1923,,,
5/1/1923,17.638,Sydney,34.56S,151.78E,5,1923,,,
6/1/1923,15.313,Sydney,34.56S,151.78E,6,1923,,,
7/1/1923,13.951,Sydney,34.56S,151.78E,7,1923,,,
8/1/1923,14.064,Sydney,34.56S,151.78E,8,1923,,,
9/1/1923,15.493,Sydney,34.56S,151.78E,9,1923,,,
10/1/1923,16.04,Sydney,34.56S,151.78E,10,1923,,,
11/1/1923,16.358,Sydney,34.56S,151.78E,11,1923,,,
12/1/1923,19.9,Sydney,34.56S,151.78E,12,1923,,,
1/1/1924,19.15,Sydney,34.56S,151.78E,1,1924,,,
2/1/1924,19.658,Sydney,34.56S,151.78E,2,1924,,,
3/1/1924,19.214,Sydney,34.56S,151.78E,3,1924,,,
4/1/1924,17.183,Sydney,34.56S,151.78E,4,1924,,,
5/1/1924,15.77,Sydney,34.56S,151.78E,5,1924,,,
6/1/1924,14.04,Sydney,34.56S,151.78E,6,1924,,,
7/1/1924,14.167,Sydney,34.56S,151.78E,7,1924,,,
8/1/1924,14.62,Sydney,34.56S,151.78E,8,1924,,,
9/1/1924,15.978,Sydney,34.56S,151.78E,9,1924,,,
10/1/1924,16.572,Sydney,34.56S,151.78E,10,1924,,,
11/1/1924,16.833,Sydney,34.56S,151.78E,11,1924,,,
12/1/1924,16.557,Sydney,34.56S,151.78E,12,1924,,,
1/1/1925,17.991,Sydney,34.56S,151.78E,1,1925,,,
2/1/1925,19.799,Sydney,34.56S,151.78E,2,1925,,,
3/1/1925,18.345,Sydney,34.56S,151.78E,3,1925,,,
4/1/1925,17.991,Sydney,34.56S,151.78E,4,1925,,,
5/1/1925,16.575,Sydney,34.56S,151.78E,5,1925,,,
6/1/1925,15.326,Sydney,34.56S,151.78E,6,1925,,,
7/1/1925,13.419,Sydney,34.56S,151.78E,7,1925,,,
8/1/1925,13.447,Sydney,34.56S,151.78E,8,1925,,,
9/1/1925,13.802,Sydney,34.56S,151.78E,9,1925,,,
10/1/1925,15.797,Sydney,34.56S,151.78E,10,1925,,,
11/1/1925,17.291,Sydney,34.56S,151.78E,11,1925,,,
12/1/1925,18.825,Sydney,34.56S,151.78E,12,1925,,,
1/1/1926,19.236,Sydney,34.56S,151.78E,1,1926,,,
2/1/1926,21.771,Sydney,34.56S,151.78E,2,1926,,,
3/1/1926,19.539,Sydney,34.56S,151.78E,3,1926,,,
4/1/1926,18.64,Sydney,34.56S,151.78E,4,1926,,,
5/1/1926,15.639,Sydney,34.56S,151.78E,5,1926,,,
6/1/1926,15.321,Sydney,34.56S,151.78E,6,1926,,,
7/1/1926,14.565,Sydney,34.56S,151.78E,7,1926,,,
8/1/1926,14.514,Sydney,34.56S,151.78E,8,1926,,,
9/1/1926,15.152,Sydney,34.56S,151.78E,9,1926,,,
10/1/1926,17.095,Sydney,34.56S,151.78E,10,1926,,,
11/1/1926,18.016,Sydney,34.56S,151.78E,11,1926,,,
12/1/1926,17.521,Sydney,34.56S,151.78E,12,1926,,,
1/1/1927,19.243,Sydney,34.56S,151.78E,1,1927,,,
2/1/1927,19.26,Sydney,34.56S,151.78E,2,1927,,,
3/1/1927,19.004,Sydney,34.56S,151.78E,3,1927,,,
4/1/1927,17.111,Sydney,34.56S,151.78E,4,1927,,,
5/1/1927,15.514,Sydney,34.56S,151.78E,5,1927,,,
6/1/1927,13.312,Sydney,34.56S,151.78E,6,1927,,,
7/1/1927,13.479,Sydney,34.56S,151.78E,7,1927,,,
8/1/1927,13.55,Sydney,34.56S,151.78E,8,1927,,,
9/1/1927,14.325,Sydney,34.56S,151.78E,9,1927,,,
10/1/1927,16.616,Sydney,34.56S,151.78E,10,1927,,,
11/1/1927,17.828,Sydney,34.56S,151.78E,11,1927,,,
12/1/1927,17.787,Sydney,34.56S,151.78E,12,1927,,,
1/1/1928,18.442,Sydney,34.56S,151.78E,1,1928,,,
2/1/1928,20.377,Sydney,34.56S,151.78E,2,1928,,,
3/1/1928,20.012,Sydney,34.56S,151.78E,3,1928,,,
4/1/1928,19.085,Sydney,34.56S,151.78E,4,1928,,,
5/1/1928,15.433,Sydney,34.56S,151.78E,5,1928,,,
6/1/1928,14.386,Sydney,34.56S,151.78E,6,1928,,,
7/1/1928,14.704,Sydney,34.56S,151.78E,7,1928,,,
8/1/1928,15.837,Sydney,34.56S,151.78E,8,1928,,,
9/1/1928,16.812,Sydney,34.56S,151.78E,9,1928,,,
10/1/1928,16.739,Sydney,34.56S,151.78E,10,1928,,,
11/1/1928,17.871,Sydney,34.56S,151.78E,11,1928,,,
12/1/1928,19.069,Sydney,34.56S,151.78E,12,1928,,,
1/1/1929,21.449,Sydney,34.56S,151.78E,1,1929,,,
2/1/1929,19.745,Sydney,34.56S,151.78E,2,1929,,,
3/1/1929,19.36,Sydney,34.56S,151.78E,3,1929,,,
4/1/1929,17.67,Sydney,34.56S,151.78E,4,1929,,,
5/1/1929,15.762,Sydney,34.56S,151.78E,5,1929,,,
6/1/1929,13.942,Sydney,34.56S,151.78E,6,1929,,,
7/1/1929,12.603,Sydney,34.56S,151.78E,7,1929,,,
8/1/1929,13.996,Sydney,34.56S,151.78E,8,1929,,,
9/1/1929,14.441,Sydney,34.56S,151.78E,9,1929,,,
10/1/1929,15.806,Sydney,34.56S,151.78E,10,1929,,,
11/1/1929,16.543,Sydney,34.56S,151.78E,11,1929,,,
12/1/1929,18.943,Sydney,34.56S,151.78E,12,1929,,,
1/1/1930,18.559,Sydney,34.56S,151.78E,1,1930,,,
2/1/1930,20.783,Sydney,34.56S,151.78E,2,1930,,,
3/1/1930,18.717,Sydney,34.56S,151.78E,3,1930,,,
4/1/1930,16.983,Sydney,34.56S,151.78E,4,1930,,,
5/1/1930,16.129,Sydney,34.56S,151.78E,5,1930,,,
6/1/1930,15.464,Sydney,34.56S,151.78E,6,1930,,,
7/1/1930,14.98,Sydney,34.56S,151.78E,7,1930,,,
8/1/1930,14.588,Sydney,34.56S,151.78E,8,1930,,,
9/1/1930,15.023,Sydney,34.56S,151.78E,9,1930,,,
10/1/1930,17.182,Sydney,34.56S,151.78E,10,1930,,,
11/1/1930,18.218,Sydney,34.56S,151.78E,11,1930,,,
12/1/1930,18.549,Sydney,34.56S,151.78E,12,1930,,,
1/1/1931,19.709,Sydney,34.56S,151.78E,1,1931,,,
2/1/1931,19.317,Sydney,34.56S,151.78E,2,1931,,,
3/1/1931,19.858,Sydney,34.56S,151.78E,3,1931,,,
4/1/1931,17.407,Sydney,34.56S,151.78E,4,1931,,,
5/1/1931,16.877,Sydney,34.56S,151.78E,5,1931,,,
6/1/1931,14.888,Sydney,34.56S,151.78E,6,1931,,,
7/1/1931,13.97,Sydney,34.56S,151.78E,7,1931,,,
8/1/1931,14.315,Sydney,34.56S,151.78E,8,1931,,,
9/1/1931,15.307,Sydney,34.56S,151.78E,9,1931,,,
10/1/1931,15.722,Sydney,34.56S,151.78E,10,1931,,,
11/1/1931,17.151,Sydney,34.56S,151.78E,11,1931,,,
12/1/1931,17.747,Sydney,34.56S,151.78E,12,1931,,,
1/1/1932,20.547,Sydney,34.56S,151.78E,1,1932,,,
2/1/1932,19.795,Sydney,34.56S,151.78E,2,1932,,,
3/1/1932,19.899,Sydney,34.56S,151.78E,3,1932,,,
4/1/1932,18.046,Sydney,34.56S,151.78E,4,1932,,,
5/1/1932,16.306,Sydney,34.56S,151.78E,5,1932,,,
6/1/1932,13.997,Sydney,34.56S,151.78E,6,1932,,,
7/1/1932,13.433,Sydney,34.56S,151.78E,7,1932,,,
8/1/1932,14.719,Sydney,34.56S,151.78E,8,1932,,,
9/1/1932,15.066,Sydney,34.56S,151.78E,9,1932,,,
10/1/1932,15.519,Sydney,34.56S,151.78E,10,1932,,,
11/1/1932,18.086,Sydney,34.56S,151.78E,11,1932,,,
12/1/1932,18.182,Sydney,34.56S,151.78E,12,1932,,,
1/1/1933,18.868,Sydney,34.56S,151.78E,1,1933,,,
2/1/1933,19.293,Sydney,34.56S,151.78E,2,1933,,,
3/1/1933,19.618,Sydney,34.56S,151.78E,3,1933,,,
4/1/1933,17.324,Sydney,34.56S,151.78E,4,1933,,,
5/1/1933,16.402,Sydney,34.56S,151.78E,5,1933,,,
6/1/1933,15.087,Sydney,34.56S,151.78E,6,1933,,,
7/1/1933,14.833,Sydney,34.56S,151.78E,7,1933,,,
8/1/1933,13.051,Sydney,34.56S,151.78E,8,1933,,,
9/1/1933,15.104,Sydney,34.56S,151.78E,9,1933,,,
10/1/1933,17.191,Sydney,34.56S,151.78E,10,1933,,,
11/1/1933,16.461,Sydney,34.56S,151.78E,11,1933,,,
12/1/1933,17.864,Sydney,34.56S,151.78E,12,1933,,,
1/1/1934,19.098,Sydney,34.56S,151.78E,1,1934,,,
